Tenor,Cusip,I7 Mid YTM CAD Canada Sovereign Curve 02/27/19 Description,I7 Mid YTM CAD Canada Sovereign Curve 02/27/19 Price,I7 Mid YTM CAD Canada Sovereign Curve 02/27/19 Yield,Cusip,I7 Mid YTM CAD Canada Sovereign Curve 01/25/19 Description,I7 Mid YTM CAD Canada Sovereign Curve 01/25/19 Price,I7 Mid YTM CAD Canada Sovereign Curve 01/25/19 Yield,I7 Mid YTM  (Change) 02/27/19-01/25/19 Price,I7 Mid YTM  (Change) 02/27/19-01/25/19 Yield,Date
3M,AS865813@BGN  Corp,CTB 0 05/30/19 Corp,99.581,1.667,AS462334@BGN  Corp,CTB 0 05/02/19 Corp,99.571,1.624,0.011,4.3,5/30/2019
6M,AX089501@BGN  Corp,CTB 0 08/08/19 Corp,99.237,1.731,AW591829@BGN  Corp,CTB 0 07/11/19 Corp,99.212,1.737,0.026,-0.6,8/8/2019
1Y,AX089507@BGN  Corp,CTB 0 02/06/20 Corp,98.348,1.782,AW592370@BGN  Corp,CTB 0 01/09/20 Corp,98.241,1.873,0.107,-9,2/6/2020
2Y,AV570311@BGN  Corp,CAN 2 ¼ 02/01/21  Corp,100.892,1.776,AV570311@BGN  Corp,Same,100.728,1.879,0.164,-10.3,2/1/2021
3Y,QZ808593@BGN  Corp,CAN 0 ½ 03/01/22  Corp,96.263,1.785,QZ808593@BGN  Corp,Same,95.859,1.888,0.404,-10.3,3/1/2022
4Y,AP434040@BGN  Corp,CAN 1 ¾ 03/01/23  Corp,99.81,1.799,AN164546@BGN  Corp,CAN 1 09/01/22 Corp,96.93,1.89,2.881,-9,3/1/2023
5Y,AU814990@BGN  Corp,CAN 2 ¼ 03/01/24  Corp,102.143,1.8,AS089280@BGN  Corp,CAN 2 09/01/23 Corp,100.461,1.895,1.682,-9.5,3/1/2024
6Y,EJ736224@BGN  Corp,CAN 2 ½ 06/01/24  Corp,103.452,1.808,EJ736224@BGN  Corp,Same,103.01,1.904,0.442,-9.6,6/1/2024
7Y,EK354848@BGN  Corp,CAN 2 ¼ 06/01/25  Corp,102.407,1.84,EK354848@BGN  Corp,Same,101.964,1.919,0.444,-7.9,6/1/2025
8Y,UV300751@BGN  Corp,CAN 1 ½ 06/01/26  Corp,97.468,1.875,UV300751@BGN  Corp,Same,97.009,1.939,0.46,-6.4,6/1/2026
9Y,QZ074427@BGN  Corp,CAN 1 06/01/27 Corp,93.185,1.896,QZ074427@BGN  Corp,Same,92.669,1.957,0.516,-6.1,6/1/2027
10Y,AO548092@BGN  Corp,CAN 2 06/01/28 Corp,100.74,1.912,AO548092@BGN  Corp,Same,100.206,1.976,0.534,-6.3,6/1/2028
20Y,ED543639@BGN  Corp,CAN 5 06/01/37 Corp,143.47,2.116,ED543639@BGN  Corp,Same,142.674,2.167,0.797,-5.1,6/1/2037
30Y,EK303477@BGN  Corp,CAN 2 ¾ 12/01/48  Corp,112.986,2.156,EK303477@BGN  Corp,Same,112.083,2.196,0.903,-3.9,12/1/2048
